WARNING! Selftests relying on bpf_testmod.ko will be skipped.
Can't find bpf_testmod.ko kernel module: -2
#1/1     align/mov:OK
#1/2     align/shift:OK
#1/3     align/addsub:OK
#1/4     align/mul:OK
#1/5     align/unknown shift:OK
#1/6     align/unknown mul:OK
#1/7     align/packet const offset:OK
#1/8     align/packet variable offset:OK
#1/9     align/packet variable offset 2:OK
#1/10    align/dubious pointer arithmetic:OK
#1/11    align/variable subtraction:OK
#1/12    align/pointer variable subtraction:OK
#1       align:OK
#7/1     async_stack_depth/pseudo_call_check:OK
#7/2     async_stack_depth/async_call_root_check:OK
#7       async_stack_depth:OK
#24/1    btf/struct test #1:OK
#24/2    btf/struct test #2:OK
#24/3    btf/struct test #3 Invalid member offset:OK
#24/4    btf/global data test #1:OK
#24/5    btf/global data test #2:OK
#24/6    btf/global data test #3:OK
#24/7    btf/global data test #4, unsupported linkage:OK
#24/8    btf/global data test #5, invalid var type:OK
#24/9    btf/global data test #6, invalid var type (fwd type):OK
#24/10   btf/global data test #7, invalid var type (fwd type):OK
#24/11   btf/global data test #8, invalid var size:OK
#24/12   btf/global data test #9, invalid var size:OK
#24/13   btf/global data test #10, invalid var size:OK
#24/14   btf/global data test #11, multiple section members:OK
#24/15   btf/global data test #12, invalid offset:OK
#24/16   btf/global data test #13, invalid offset:OK
#24/17   btf/global data test #14, invalid offset:OK
#24/18   btf/global data test #15, not var kind:OK
#24/19   btf/global data test #16, invalid var referencing sec:OK
#24/20   btf/global data test #17, invalid var referencing var:OK
#24/21   btf/global data test #18, invalid var loop:OK
#24/22   btf/global data test #19, invalid var referencing var:OK
#24/23   btf/global data test #20, invalid ptr referencing var:OK
#24/24   btf/global data test #21, var included in struct:OK
#24/25   btf/global data test #22, array of var:OK
#24/26   btf/var after datasec, ptr followed by modifier:OK
#24/27   btf/size check test #1:OK
#24/28   btf/size check test #2:OK
#24/29   btf/size check test #3:OK
#24/30   btf/size check test #4:OK
#24/31   btf/size check test #5:OK
#24/32   btf/void test #1:OK
#24/33   btf/void test #2:OK
#24/34   btf/void test #3:OK
#24/35   btf/void test #4:OK
#24/36   btf/loop test #1:OK
#24/37   btf/loop test #2:OK
#24/38   btf/loop test #3:OK
#24/39   btf/loop test #4:OK
#24/40   btf/loop test #5:OK
#24/41   btf/loop test #6:OK
#24/42   btf/loop test #7:OK
#24/43   btf/loop test #8:OK
#24/44   btf/string section does not end with null:OK
#24/45   btf/empty string section:OK
#24/46   btf/empty type section:OK
#24/47   btf/btf_header test. Longer hdr_len:OK
#24/48   btf/btf_header test. Gap between hdr and type:OK
#24/49   btf/btf_header test. Gap between type and str:OK
#24/50   btf/btf_header test. Overlap between type and str:OK
#24/51   btf/btf_header test. Larger BTF size:OK
#24/52   btf/btf_header test. Smaller BTF size:OK
#24/53   btf/array test. index_type/elem_type "int":OK
#24/54   btf/array test. index_type/elem_type "const int":OK
#24/55   btf/array test. index_type "const int:31":OK
#24/56   btf/array test. elem_type "const int:31":OK
#24/57   btf/array test. index_type "void":OK
#24/58   btf/array test. index_type "const void":OK
#24/59   btf/array test. elem_type "const void":OK
#24/60   btf/array test. elem_type "const void *":OK
#24/61   btf/array test. index_type "const void *":OK
#24/62   btf/array test. t->size != 0":OK
#24/63   btf/int test. invalid int_data:OK
#24/64   btf/invalid BTF_INFO:OK
#24/65   btf/fwd test. t->type != 0":OK
#24/66   btf/typedef (invalid name, name_off = 0):OK
#24/67   btf/typedef (invalid name, invalid identifier):OK
#24/68   btf/ptr type (invalid name, name_off <> 0):OK
#24/69   btf/volatile type (invalid name, name_off <> 0):OK
#24/70   btf/const type (invalid name, name_off <> 0):OK
#24/71   btf/restrict type (invalid name, name_off <> 0):OK
#24/72   btf/fwd type (invalid name, name_off = 0):OK
#24/73   btf/fwd type (invalid name, invalid identifier):OK
#24/74   btf/array type (invalid name, name_off <> 0):OK
#24/75   btf/struct type (name_off = 0):OK
#24/76   btf/struct type (invalid name, invalid identifier):OK
#24/77   btf/struct member (name_off = 0):OK
#24/78   btf/struct member (invalid name, invalid identifier):OK
#24/79   btf/enum type (name_off = 0):OK
#24/80   btf/enum type (invalid name, invalid identifier):OK
#24/81   btf/enum member (invalid name, name_off = 0):OK
#24/82   btf/enum member (invalid name, invalid identifier):OK
#24/83   btf/arraymap invalid btf key (a bit field):OK
#24/84   btf/arraymap invalid btf key (!= 32 bits):OK
#24/85   btf/arraymap invalid btf value (too small):OK
#24/86   btf/arraymap invalid btf value (too big):OK
#24/87   btf/func proto (int (*)(int, unsigned int)):OK
#24/88   btf/func proto (vararg):OK
#24/89   btf/func proto (vararg with name):OK
#24/90   btf/func proto (arg after vararg):OK
#24/91   btf/func proto (CONST=>TYPEDEF=>PTR=>FUNC_PROTO):OK
#24/92   btf/func proto (TYPEDEF=>FUNC_PROTO):OK
#24/93   btf/func proto (btf_resolve(arg)):OK
#24/94   btf/func proto (Not all arg has name):OK
#24/95   btf/func proto (Bad arg name_off):OK
#24/96   btf/func proto (Bad arg name):OK
#24/97   btf/func proto (Invalid return type):OK
#24/98   btf/func proto (with func name):OK
#24/99   btf/func proto (const void arg):OK
#24/100  btf/func (void func(int a, unsigned int b)):OK
#24/101  btf/func (No func name):OK
#24/102  btf/func (Invalid func name):OK
#24/103  btf/func (Some arg has no name):OK
#24/104  btf/func (Non zero vlen):OK
#24/105  btf/func (Not referring to FUNC_PROTO):OK
